BONE_000, 513,   291.1346,  2535.5849,    17.3777, 180.2973,  21,  36, 32,  ; // Stuntplane
BONE_001, 512,   324.4324,  2535.6506,    17.5121, 181.8784,  89,  91, 32,  ; // Cropduster
BONE_002, 476,   403.6754,  2456.9726,    16.7824, 357.7750,  15, 123, 32,  ; // Rustler
BONE_003, 417,   364.4265,  2535.2258,    16.7616, 143.5451,   0,   0, 32,  ; // Leviathan
BONE_004, 586,   423.4558,  2541.1025,    15.9886, 339.6539,  10,   1, 32,  ; // Wayfarer
BONE_005, 543,   385.2092,  2603.5048,    16.3080, 192.7106,  67,   8, 32,  ; // Sadler
BONE_006, 468,   383.9263,  2590.5932,    16.1532, 275.5223,  46,  46, 32,  ; // Sanchez
BONE_007, 473,   260.6835,  2936.9685,     0.1289, 358.4063,  56,  53, 32,  ; // Dinghy
BONE_008, 586,  -237.9595,  2595.8259,    62.2230, 181.1165, 122,   1, 32,  ; // Wayfarer
BONE_009, 468,  -146.0388,  2681.6435,    62.0453, 272.4596,  46,  46, 32,  ; // Sanchez
BONE_010, 429,  -213.1004,  2609.1828,    62.3828, 359.8649,  13,  13, 32,  ; // Banshee
BONE_011, 600,  -201.2879,  2594.7170,    62.4220,   1.1029,  32,   8, 32,  ; // Picador
BONE_012, 489,  -270.6936,  2675.0888,    62.7953, 251.3489,  14, 123, 32,  ; // Rancher
BONE_013, 471,  -165.8630,  2715.0739,    61.9532,  88.0076, 103, 111, 32,  ; // Quad
BONE_014, 420,  -208.3269,  2723.9990,    62.4695, 267.2648,   6,   1, 32,  ; // Taxi
BONE_015, 489,  -290.5132,  2721.2917,    62.4474, 181.4169, 112, 120, 32,  ; // Rancher
BONE_016, 463,  -322.7055,  2671.4550,    62.2948, 179.9792,  79,  79, 32,  ; // Freeway
BONE_017, 489,  -303.7002,  2683.5917,    62.7897, 180.7489, 120, 123, 32,  ; // Rancher
BONE_018, 468,  -255.1318,  2766.7500,    61.9962, 181.5453,   3,   3, 32,  ; // Sanchez
BONE_019, 604,  -171.7223,  2759.3876,    62.4067,  24.1881,   2,  76, 32,  ; // Glendale (Shit 
BONE_020, 424,   -17.3880,  2355.6076,    23.8878, 143.4369,   3,   2, 32,  ; // BF Injection
BONE_021, 470,   304.7514,  1839.3784,    17.5988, 336.0932,  43,   0, 32,  ; // Patriot
BONE_022, 433,   301.7500,  1863.8750,    18.0533, 360.0000,  43,   0, 32,  ; // Barracks
BONE_023, 548,   296.0859,  1925.9017,    19.3104, 236.2604,   1,   1, 32,  ; // Cargobob
BONE_024, 548,   314.9758,  2046.6258,    19.2481, 157.8634,   1,   1, 32,  ; // Cargobob
BONE_025, 548,   350.5939,  1984.1193,    19.3047,  92.2204,   1,   1, 32,  ; // Cargobob
BONE_026, 470,   282.3898,  1955.3890,    17.6340, 270.8638,  43,   0, 32,  ; // Patriot
BONE_027, 543,  -210.2041,  2609.1667,    62.5215, 181.2799,  32,   8, 32,  ; // Sadler
BONE_028, 482,  -528.5228,  2571.3864,    53.5349, 269.2739,  32,  32, 32,  ; // Burrito
BONE_029, 424,  -527.7628,  2604.1191,    53.1936, 271.2167,   2,   2, 32,  ; // BF Injection
BONE_030, 411,  -519.1962,  2617.6291,    53.1447,  90.1551,  64,   1, 32,  ; // Infernus
BONE_031, 600,  -421.8826,  2225.4055,    42.0774, 180.3448,   8,  90, 32,  ; // Picador
BONE_032, 568,  -363.7965,  2215.8901,    42.3508,  72.2219,   9,  39, 32,  ; // Bandito
