WHET_000, 402, -2507.2949, -2661.3745,    41.6141,  47.4362, 110, 110, 32,  ;
WHET_001, 489, -2226.7434, -2328.2502,    30.7266, 320.7235, 112, 120, 32,  ;
WHET_002, 489, -2222.2509, -2313.6254,    30.7042, 139.2187,  84, 110, 32,  ;
WHET_003, 492, -2237.1716, -2319.5217,    30.1611, 320.8835,  81,  27, 32,  ;
WHET_004, 416, -2202.5034, -2315.8737,    30.7133, 319.2145,   1,   3, 32,  ;
WHET_005, 437, -2183.7780, -2251.1503,    30.7738,  50.7582,  47,  74, 32,  ;
WHET_006, 439, -2195.2421, -2265.3093,    30.5209, 141.9244,  67,   8, 32,  ;
WHET_007, 468, -2119.6215, -2309.6586,    30.2905, 236.4013,  46,  46, 32,  ;
WHET_008, 468, -2090.2646, -2343.2663,    30.2931, 133.5881,  46,  46, 32,  ;
WHET_009, 478, -2139.3381, -2394.7604,    30.5345, 321.4478,  39,   1, 32,  ;
WHET_010, 403, -2000.1112, -2415.5122,    31.5909, 229.2187,  42,  76, 32,  ;
WHET_011, 578, -1969.7487, -2437.8750,    31.2884, 278.4375,   1,   1, 32,  ;
WHET_012, 483, -2047.1420, -2548.5454,    30.6175, 143.9577,   1,   5, 32,  ;
WHET_013, 496, -2090.5361, -2547.2097,    30.3414, 319.1863,  22,  22, 32,  ;
WHET_014, 499, -2147.2827, -2540.9389,    30.6123, 321.3171,  30,  44, 32,  ;
WHET_015, 507, -2198.5273, -2501.1496,    30.4428, 142.3856,  42,  42, 32,  ;
WHET_016, 508, -2238.4975, -2476.8637,    31.5503, 135.3412,   1,   1, 32,  ;
WHET_017, 525, -2201.8979, -2431.7082,    30.5065, 143.2418,  18,  20, 32,  ;
WHET_018, 542, -2208.8725, -2301.8510,    30.3684, 141.4183,  24, 118, 32,  ;
WHET_019, 468, -2408.1938, -2180.6550,    32.9574, 359.2590,  46,  46, 32,  ;
WHET_020, 468, -2408.5000, -2185.9997,    32.9469, 320.6250,  46,  46, 32,  ;
WHET_021, 468, -2404.6193, -2184.0007,    32.9580, 180.5767,  46,  46, 32,  ;
WHET_022, 468, -2410.8002, -2193.1538,    32.9575,  98.7389,  46,  46, 32,  ;
WHET_023, 468, -2383.4411, -2195.6008,    32.9551, 269.5914,  46,  46, 32,  ;
WHET_024, 421, -2232.4704, -2168.4863,    40.0861, 269.7544,  60,  72, 32,  ;
WHET_025, 586, -2211.9084, -2152.1481,    44.5665,  39.1713,  32,   1, 32,  ;
WHET_026, 586, -2341.5478, -1617.2042,   483.2096, 282.5971,  32,   1, 32,  ;
WHET_027, 483, -2343.2617, -1613.8765,   483.6216, 105.4732,  17,   0, 32,  ;
WHET_028, 508, -2338.5102, -1593.7384,   483.9935,  19.6732,   1,   1, 32,  ;
WHET_029, 542, -1903.3435, -1648.1373,    21.4948,   0.2053, 119, 113, 32,  ;
WHET_030, 543, -1884.3239, -1746.2725,    21.5641, 116.1924,  11,  11, 32,  ;
WHET_031, 568, -1425.6387, -1964.6724,    16.7105, 350.8757,  21,   1, 32,  ;
WHET_032, 568, -1422.0556, -1774.0085,    46.2860, 324.6742,  21,   1, 32,  ;
WHET_033, 424, -1642.4335, -2250.6625,    31.2031,  90.7390,   3,   2, 32,  ;
WHET_034, 471, -1623.8787, -1935.3231,    98.1841,   9.9608, 120, 113, 32,  ;
WHET_035, 471, -1423.5977, -1480.9162,   101.1532, 181.2330, 120, 113, 32,  ;
WHET_036, 478, -1446.1259, -1494.6137,   101.7286,   5.6245,  20,   1, 32,  ;
WHET_037, 468, -1460.7500, -1566.6243,   101.4171,   1.4062,   3,   3, 32,  ;
WHET_038, 455, -1921.1331, -1376.5701,    40.8204,  60.9557,  43,  31, 32,  ;
WHET_039, 568, -2675.9160, -2647.4184,     8.6870,  28.6793,  21,   1, 32,  ;
WHET_040, 527, -2504.5607, -2310.4421,    14.8241,  97.2619,  81,   1, 32,  ;
WHET_041, 543, -2522.9069, -2151.9606,    30.3162,  29.5732,  67,   8, 32,  ;
WHET_042, 568, -2675.9160, -2647.4184,     8.6870,  28.6793,  21,   1, 32,  ;
WHET_043, 487, -2249.4399, -1714.5770,   480.3399, 224.1963,  26,   3, 32,  ;
WHET_044, 500, -2390.3205, -1866.1573,   405.1097, 113.9224,  25, 119, 32,  ;
